Year,Month,Day,Min,Max,Avg,Type,Stepvalue,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
2013,6,1,10.4,15.8,13.1,0,0.45,10.4,10.85,11.3,11.75,12.2,12.65,13.1,13.55,14,14.45,14.9,15.35,15.8,15.35,14.9,14.45,14,13.55,13.1,12.65,12.2,11.75,11.3,10.85
2013,6,2,10.4,15.7,13.05,0,0.441666667,10.4,10.84166667,11.28333333,11.725,12.16666667,12.60833333,13.05,13.49166667,13.93333333,14.375,14.81666667,15.25833333,15.7,15.25833333,14.81666666,14.375,13.93333333,13.49166666,13.05,12.60833333,12.16666666,11.72499999,11.28333333,10.84166666
2013,6,3,10.7,14.8,12.75,0,0.341666667,10.7,11.04166667,11.38333333,11.725,12.06666667,12.40833333,12.75,13.09166667,13.43333333,13.775,14.11666667,14.45833333,14.8,14.45833333,14.11666666,13.775,13.43333333,13.09166666,12.75,12.40833333,12.06666666,11.72499999,11.38333333,11.04166666
2013,6,4,11.1,15,13.05,0,0.325,11.1,11.425,11.75,12.075,12.4,12.725,13.05,13.375,13.7,14.025,14.35,14.675,15,14.675,14.35,14.025,13.7,13.375,13.05,12.725,12.4,12.075,11.75,11.425
2013,6,5,11.9,14.6,13.25,0,0.225,11.9,12.125,12.35,12.575,12.8,13.025,13.25,13.475,13.7,13.925,14.15,14.375,14.6,14.375,14.15,13.925,13.7,13.475,13.25,13.025,12.8,12.575,12.35,12.125
2013,6,6,12.6,17.3,14.95,0,0.391666667,12.6,12.99166667,13.38333333,13.775,14.16666667,14.55833333,14.95,15.34166667,15.73333333,16.125,16.51666667,16.90833333,17.3,16.90833333,16.51666666,16.125,15.73333333,15.34166666,14.95,14.55833333,14.16666666,13.77499999,13.38333333,12.99166666
2013,6,7,10.9,14.5,12.7,0,0.3,10.9,11.2,11.5,11.8,12.1,12.4,12.7,13,13.3,13.6,13.9,14.2,14.5,14.2,13.9,13.6,13.3,13,12.7,12.4,12.1,11.8,11.5,11.2
2013,6,8,5,15.7,10.35,0,0.891666667,5,5.891666667,6.783333333,7.675,8.566666667,9.458333333,10.35,11.24166667,12.13333333,13.025,13.91666667,14.80833333,15.7,14.80833333,13.91666666,13.025,12.13333333,11.24166666,10.35,9.458333328,8.566666661,7.674999994,6.783333327,5.89166666
2013,6,9,5.3,14.4,9.85,0,0.758333333,5.3,6.058333333,6.816666667,7.575,8.333333333,9.091666667,9.85,10.60833333,11.36666667,12.125,12.88333333,13.64166667,14.4,13.64166667,12.88333334,12.125,11.36666667,10.60833334,9.850000005,9.091666672,8.333333339,7.575000006,6.816666673,6.05833334
2013,6,10,6.5,16.9,11.7,0,0.866666667,6.5,7.366666667,8.233333333,9.1,9.966666667,10.83333333,11.7,12.56666667,13.43333333,14.3,15.16666667,16.03333333,16.9,16.03333333,15.16666666,14.3,13.43333333,12.56666666,11.7,10.83333333,9.966666661,9.099999994,8.233333327,7.36666666
